depth	hidden_size	core_count	latency
2	16	8	4.2145246006548405
2	16	12	3.91619044682011
2	16	16	4.263115386012942
2	16	24	2.3435600330121815
2	16	32	2.2456171019002795
2	32	8	11.245415262877941
2	32	12	9.366886953823268
2	32	16	9.88498746510595
2	32	24	6.072790455073118
2	32	32	5.988824615254998
2	64	8	17.710092408116907
2	64	12	14.636659153271466
2	64	16	14.54421549802646
2	64	24	11.592444954905659
2	64	32	12.344610075000674
2	128	8	36.207595547195524
2	128	12	27.474743274971843
2	128	16	27.425805740058422
2	128	24	23.14790509501472
2	128	32	23.016677698120475
2	256	8	73.5450742598623
2	256	12	55.01630252832547
2	256	16	54.71826620167121
2	256	24	50.5931849591434
2	256	32	49.91099443892017
2	512	8	177.7402828638442
2	512	12	124.40806034300476
2	512	16	126.12926317285746
2	512	24	127.39163478603587
2	512	32	128.9877485060133
3	16	8	5.552088460884988
3	16	12	5.4360635709017515
3	16	16	5.379763585049659
3	16	24	3.479679651092738
3	16	32	3.4585646777413785
3	32	8	15.234730835072696
3	32	12	11.141146921087056
3	32	16	11.90900368615985
3	32	24	8.624142478685826
3	32	32	8.656853227876127
3	64	8	21.11841129232198
3	64	12	17.39217043016106
3	64	16	19.162169377785176
3	64	24	18.05419252673164
3	64	32	17.2314323191531
3	128	8	43.02704379102215
3	128	12	33.55417857086286
3	128	16	37.036755269858986
3	128	24	34.53617353318259
3	128	32	28.402340553700924
3	256	8	91.08151372615248
3	256	12	69.4281544322148
3	256	16	76.43409952102229
3	256	24	65.13187862606719
3	256	32	66.73624606709927
3	512	8	225.42477991897613
3	512	12	163.58087851293385
3	512	16	162.79581185616553
3	512	24	167.14875190891325
3	512	32	163.83356949314475
5	16	8	7.679958213120699
5	16	12	6.802819438744336
5	16	16	7.689071170054376
5	16	24	5.351118749007583
5	16	32	5.355042231269181
5	32	8	23.092096142005175
5	32	12	16.406747403088957
5	32	16	16.688289743382484
5	32	24	12.527716185897589
5	32	32	13.216765561606735
5	64	8	26.567750472109765
5	64	12	22.72428813483566
5	64	16	27.84407275635749
5	64	24	29.10449225595221
5	64	32	26.87570588896051
5	128	8	55.27902597701177
5	128	12	44.34254666464403
5	128	16	55.4640343808569
5	128	24	55.230221112724394
5	128	32	39.32669714419171
5	256	8	126.11363000702113
5	256	12	96.76033069007099
5	256	16	117.2086336822249
5	256	24	103.83342891419306
5	256	32	94.54401481896639
5	512	8	322.85709702502936
5	512	12	239.69068304589018
5	512	16	237.04688605992123
5	512	24	245.70932788215578
5	512	32	233.2045556139201
7	16	8	10.231119769159704
7	16	12	10.148086085915565
7	16	16	9.874388214200735
7	16	24	7.453877926338464
7	16	32	7.648301410023123
7	32	8	29.932080554310232
7	32	12	20.869421696756035
7	32	16	21.17518745502457
7	32	24	17.100641704164445
7	32	32	17.90870573092252
7	64	8	32.126036163885146
7	64	12	27.419611640740186
7	64	16	36.41257972782478
7	64	24	37.34552928013727
7	64	32	37.85127821099013
7	128	8	68.99125960795209
7	128	12	55.08103968994692
7	128	16	74.38948365999386
7	128	24	77.39099835511297
7	128	32	49.678551983088255
7	256	8	160.17586025595665
7	256	12	125.40726505313069
7	256	16	160.85126739600673
7	256	24	126.77917917817831
7	256	32	119.30169814778492
7	512	8	419.6524864989333
7	512	12	315.7693825820461
7	512	16	314.6251889001578
7	512	24	328.3801120631397
7	512	32	306.907442512922
9	16	8	12.317509023938328
9	16	12	12.082812224980444
9	16	16	11.99555890681222
9	16	24	9.531430466100574
9	16	32	9.683684838935733
9	32	8	35.51092051807791
9	32	12	27.483350827358663
9	32	16	25.84539578203112
9	32	24	21.176860861014575
9	32	32	22.79564437409863
9	64	8	37.8770195399411
9	64	12	32.59906483395025
9	64	16	45.52252060174942
9	64	24	51.87222058000043
9	64	32	48.667781757190824
9	128	8	82.82332800794393
9	128	12	68.37763967784122
9	128	16	97.23737142793834
9	128	24	99.39091804297641
9	128	32	71.48483738303185
9	256	8	200.37157504120842
9	256	12	154.55017239181325
9	256	16	200.84910393087193
9	256	24	163.0943739498034
9	256	32	145.03237430006266
9	512	8	519.3899669428356
9	512	12	390.8528509880416
9	512	16	390.00612354977056
9	512	24	413.4477590639144
9	512	32	378.8153372569941
