latency n_estimators max_depth learning_rate cores
6.153741931077093 10 4 0.16 1
10.213617739267647 50 4 0.12 1
15.623535860795528 100 4 0.08 1
20.505191020667553 150 4 0.05 1
31.07024087337777 250 4 0.03 1
67.43632669514045 600 4 0.01 1
108.12125162919983 1000 4 0.008 1
218.28962341090664 2000 4 0.005 1
3.729297110810876 10 4 0.16 2
5.525128183886409 50 4 0.12 2
8.280528663657606 100 4 0.08 2
11.357660464011133 150 4 0.05 2
16.52233530022204 250 4 0.03 2
34.44123127916828 600 4 0.01 2
57.083085239864886 1000 4 0.008 2
116.99465023726225 2000 4 0.005 2
2.0171336606144905 10 4 0.16 4
3.2043062462471426 50 4 0.12 4
4.608375260140747 100 4 0.08 4
6.140907734632492 150 4 0.05 4
9.099450135137886 250 4 0.03 4
20.42139501683414 600 4 0.01 4
33.02659479994327 1000 4 0.008 4
63.304850758984685 2000 4 0.005 4
1.1725059594027698 10 4 0.16 8
1.9594488409347832 50 4 0.12 8
2.9003010760061443 100 4 0.08 8
4.308925836812705 150 4 0.05 8
5.6235486241057515 250 4 0.03 8
12.802452412899584 600 4 0.01 8
19.408179949969053 1000 4 0.008 8
39.51432598102838 2000 4 0.005 8
0.8488372289575636 10 4 0.16 16
1.4512023199349642 50 4 0.12 16
2.1174710928462446 100 4 0.08 16
2.723405708093196 150 4 0.05 16
4.067857110872865 250 4 0.03 16
8.401288290973753 600 4 0.01 16
13.827484666835517 1000 4 0.008 16
31.617746284231544 2000 4 0.005 16
0.7343788566067815 10 4 0.16 32
1.3563162260688841 50 4 0.12 32
2.1362928240559995 100 4 0.08 32
2.861113549210131 150 4 0.05 32
5.2726645530201495 250 4 0.03 32
9.430754536297172 600 4 0.01 32
15.239770527929068 1000 4 0.008 32
30.38744204118848 2000 4 0.005 32
