latency n_estimators max_depth learning_rate cores
177.35505502205342 2000 2 0.008 1
223.30263206502423 2000 5 0.005 1
177.73926032381132 2000 9 0.001 1
93.13483853824437 2000 2 0.008 2
116.25031856494024 2000 5 0.005 2
97.37101781088859 2000 9 0.001 2
51.22902303515002 2000 2 0.008 4
72.183891157154 2000 5 0.005 4
56.68766485294327 2000 9 0.001 4
32.028683443088084 2000 2 0.008 8
39.54704938083887 2000 5 0.005 8
37.505453588906676 2000 9 0.001 8
21.970137267839164 2000 2 0.008 16
29.574453360401094 2000 5 0.005 16
29.558700107969344 2000 9 0.001 16
22.864399659913033 2000 2 0.008 32
34.12530535412952 2000 5 0.005 32
34.742515582125634 2000 9 0.001 32
