latency n_estimators max_depth learning_rate cores
6.2418639049865305 10 6 0.16 1
10.431900115683675 50 6 0.12 1
15.833458388224244 100 6 0.08 1
20.54147609975189 150 6 0.05 1
31.100299750920385 250 6 0.03 1
66.00828003603965 600 6 0.01 1
143.6239116396755 1000 6 0.008 1
218.48690250189975 2000 6 0.005 1
3.4240128393284976 10 6 0.16 2
5.611524563282728 50 6 0.12 2
8.473981413058937 100 6 0.08 2
11.24708402203396 150 6 0.05 2
19.834538424387574 250 6 0.03 2
35.477361482102424 600 6 0.01 2
58.98446047492325 1000 6 0.008 2
129.68918500607833 2000 6 0.005 2
2.009857214987278 10 6 0.16 4
3.215911970939487 50 6 0.12 4
4.817976224701852 100 6 0.08 4
6.324084650725126 150 6 0.05 4
9.385811721906066 250 6 0.03 4
20.038136180955917 600 6 0.01 4
32.36130840796977 1000 6 0.008 4
64.87500899890438 2000 6 0.005 4
1.2523835068568587 10 6 0.16 8
2.4337851852178574 50 6 0.12 8
2.934169969987124 100 6 0.08 8
4.172125890851021 150 6 0.05 8
5.818931897170842 250 6 0.03 8
12.433330660685897 600 6 0.01 8
21.50588692491874 1000 6 0.008 8
40.89333952823654 2000 6 0.005 8
0.9116485929116607 10 6 0.16 16
1.6262574950233102 50 6 0.12 16
2.3780602999031544 100 6 0.08 16
2.8134884610772133 150 6 0.05 16
4.061060446314514 250 6 0.03 16
8.971848237328231 600 6 0.01 16
15.384627418126911 1000 6 0.008 16
29.01901723118499 2000 6 0.005 16
0.7118500317446887 10 6 0.16 32
1.4542205398902297 50 6 0.12 32
2.1945099350996315 100 6 0.08 32
2.981553411576897 150 6 0.05 32
4.368596423882991 250 6 0.03 32
10.035662286449224 600 6 0.01 32
15.841614875011146 1000 6 0.008 32
32.590873105917126 2000 6 0.005 32
