n_estimators	max_depths	min_samples_split	cores
2.207802552031353 2 7 1000 8
2.2765553509816527 2 7 250 8
2.3867051750421524 2 11 250 8
2.527683261083439 2 11 100 8
3.7716027200222015 2 15 100 8
2.3447122799698263 2 15 60 8
2.22082058317028 2 20 5 8
2.7011280660517514 2 20 2 8
3.5174746089614928 2 30 5 8
2.9873435590416193 2 30 2 8
7.5108370839152485 5 7 500 8
7.705653546843678 5 7 150 8
7.340155415004119 5 11 100 8
6.3063236069865525 5 11 70 8
6.257893801899627 5 15 30 8
8.012514707166702 5 15 20 8
6.007840926991776 5 20 5 8
7.417579361004755 5 20 2 8
7.685298386029899 5 30 5 8
7.8809690601192415 5 30 2 8
18.432941302889958 15 7 250 8
23.56789991608821 15 7 100 8
22.4335502339527 15 11 70 8
22.53931934805587 15 11 30 8
23.805244639050215 15 15 15 8
22.510550916893408 15 15 10 8
19.851654787082225 15 20 5 8
21.249135763850063 15 20 2 8
21.928991294000298 15 30 5 8
20.995574745815247 15 30 2 8
97.33858232898638 70 7 100 8
83.35652295686305 70 7 30 8
87.43964256206527 70 11 30 8
100.23258147900924 70 11 10 8
91.80795388389379 70 15 5 8
90.38794072601013 70 15 2 8
98.89314138190821 70 20 5 8
93.51680211513303 70 20 2 8
102.70290186000057 70 30 5 8
97.19327288097702 70 30 2 8
266.8027565279044 200 7 30 8
263.7486853040755 200 7 10 8
271.8079685319681 200 11 15 8
276.0217379981186 200 11 7 8
269.9750047142152 200 15 5 8
281.9232958299108 200 15 2 8
288.33696691598743 200 20 5 8
274.7018007810693 200 20 2 8
290.7268977870699 200 30 5 8
294.50430640392005 200 30 2 8
