depth	hidden_size	core_count	latency
2	4	8	0.2448496029992384
2	8	8	0.2506397150000339
2	16	8	0.3352499289994739
2	32	8	0.4421041619998505
2	64	8	0.6995817059996625
3	4	8	0.3017078169996239
3	8	8	0.33319837099952565
3	16	8	0.47393328199996176
3	32	8	0.7192223410002043
3	64	8	1.2485727779994704
5	4	8	0.33911570700001903
5	8	8	0.4785219010000219
5	16	8	0.7808413310003743
5	32	8	1.2711530579999817
5	64	8	2.34643501499977
7	4	8	0.41296212499946705
7	8	8	0.6224147149996497
7	16	8	1.0929886040003112
7	32	8	1.8256990660001975
7	64	8	3.4424028940002245
9	4	8	0.48384652200002165
9	8	8	0.76975680599935
9	16	8	1.3887572820003697
9	32	8	2.3786350509999465
9	64	8	4.537466512000719
